date,dayOfWeek,weekNumber,createdAt,updatedAt
2021-06-05,6,23,9/7/20 16:41,9/7/20 16:41
2021-06-06,0,24,9/7/20 16:41,9/7/20 16:41
2021-06-07,1,24,9/7/20 16:41,9/7/20 16:41
2021-06-08,2,24,9/7/20 16:41,9/7/20 16:41
2021-06-09,3,24,9/7/20 16:41,9/7/20 16:41
2021-06-10,4,24,9/7/20 16:41,9/7/20 16:41
2021-06-11,5,24,9/7/20 16:41,9/7/20 16:41
2021-06-12,6,24,9/7/20 16:41,9/7/20 16:41
2021-06-13,0,25,9/7/20 16:41,9/7/20 16:41
2021-06-14,1,25,9/7/20 16:41,9/7/20 16:41
2021-06-15,2,25,9/7/20 16:41,9/7/20 16:41
2021-06-16,3,25,9/7/20 16:41,9/7/20 16:41
2021-06-17,4,25,9/7/20 16:41,9/7/20 16:41
2021-06-18,5,25,9/7/20 16:41,9/7/20 16:41
2021-06-19,6,25,9/7/20 16:41,9/7/20 16:41
2021-06-20,0,26,9/7/20 16:41,9/7/20 16:41
2021-06-21,1,26,9/7/20 16:41,9/7/20 16:41
2021-06-22,2,26,9/7/20 16:41,9/7/20 16:41
2021-06-23,3,26,9/7/20 16:41,9/7/20 16:41
2021-06-24,4,26,9/7/20 16:41,9/7/20 16:41
2021-06-25,5,26,9/7/20 16:41,9/7/20 16:41
2021-06-26,6,26,9/7/20 16:41,9/7/20 16:41
2021-06-27,0,27,9/7/20 16:41,9/7/20 16:41
2021-06-28,1,27,9/7/20 16:41,9/7/20 16:41
2021-06-29,2,27,9/7/20 16:41,9/7/20 16:41
2021-06-30,3,27,9/7/20 16:41,9/7/20 16:41
2021-07-01,4,27,9/7/20 16:41,9/7/20 16:41
2021-07-02,5,27,9/7/20 16:41,9/7/20 16:41
2021-07-03,6,27,9/7/20 16:41,9/7/20 16:41
2021-07-04,0,28,9/7/20 16:41,9/7/20 16:41
2021-07-05,1,28,9/7/20 16:41,9/7/20 16:41
2021-07-06,2,28,9/7/20 16:41,9/7/20 16:41
2021-07-07,3,28,9/7/20 16:41,9/7/20 16:41
2021-07-08,4,28,9/7/20 16:41,9/7/20 16:41
